beta_0,beta_1,beta_2,rho
2.569864000670696,2.9529357791683926,0.43336360850396477,0.0
2.3278759545124847,2.7609195363409578,0.02785155338230263,0.0
2.145627303302067,2.8488063464250564,0.0001486937551791745,0.0
1.9111924417403539,3.546888343721151,0.47263740338675425,0.0
2.37328663567907,2.876795680758442,1.0015951121597457,0.0
2.189331754278041,2.904817435442949,0.5599879125421815,0.0
1.6540582500100076,3.2993669735407227,1.0823334732811176,0.0
1.91368818351369,3.1461851347823098,0.9892617770203004,0.0
2.363203458351414,3.1587034745734015,0.6837739369383621,0.0
1.930319988718365,3.633578665748113,0.629107622927071,0.0
2.0918208102911837,2.864773827615156,1.0372747492362933,0.0
1.948695154437263,2.6424872618823376,0.980348722184508,0.0
1.5090390876157704,3.043493580782972,1.0059388098328064,0.0
1.4780868107951064,3.4709602949745415,0.6541113579912218,0.0
1.9549641802179378,3.106422473103141,0.6705875859228069,0.0
1.6137021035357062,2.9103341365071227,0.21922925567322807,0.0
2.0056351357166307,2.9630043419563243,0.19474951166369078,0.0
1.4913892334550278,2.6118228234730267,0.6407017954466925,0.0
1.4349532275642145,2.6986894756868813,0.6221396741532764,0.0
2.376908970683692,3.421829682216549,0.3117878222204206,0.0
1.6214397816357962,3.1600608805407764,0.4219818143141466,0.0
1.5845144108698554,3.1267181300333036,0.9464135767769496,0.0
1.733861444696763,2.9097975822781623,0.5707869518217726,0.0
2.443507679566203,2.7704970736787713,0.04327260885921612,0.0
1.7206488335772663,2.21965353385901,0.42526666911824335,0.0
1.4898788982964153,2.9725136295678496,0.8899654953909646,0.0
2.271576041188515,2.5456559909027665,0.9396500210845731,0.0
1.6146462996144928,3.0379655826268577,0.7316698594043779,0.0
2.0924755574788185,2.225786698772536,1.1864457712988998,0.0
1.9482922285354867,3.181219699080357,0.45736998264267675,0.0
2.5519165791366385,3.0278611697218136,0.6597730160730398,0.0
2.096069361167087,2.837606743811444,0.7611756664918644,0.0
1.8565923947339178,2.8565664166365927,0.9723427464025693,0.0
2.1172735857826366,2.5826602091042496,0.5112532315722113,0.0
1.4582771273163808,2.8181734730943524,1.0590366748156812,0.0
3.0421713778741455,2.683215122811336,0.8618646311847835,0.0
2.2483454785996484,3.1407798858203235,0.005086533925630521,0.0
1.7545963438227092,2.004161837419325,0.5325662814231567,0.0
2.0943834110171156,3.16120718780071,0.4512218198590883,0.0
2.6143189091822467,2.782432553390787,1.2994114250009219,0.0
1.671962444119658,2.708374910309128,-0.3052560501854794,0.0
2.265876807912963,3.1187357716465716,0.9445292334876308,0.0
1.8419788658892282,3.7679914166000166,0.32547466283606324,0.0
1.2956884952798264,3.740004033918732,0.4786984845197268,0.0
1.3873943851727402,2.686719853873767,0.43893580148059325,0.0
2.0071257088181103,3.041023987452122,-0.14667544485635464,0.0
2.5031290476627817,3.653395410874279,0.8468191439948738,0.0
1.1628412681613869,2.945369634622355,0.344444069265462,0.0
1.9532141791294988,3.1617392581901553,-0.08095026731791313,0.0
2.117311240316547,2.425917447121277,0.8741165107982504,0.0
2.0454154270167595,2.3099141571441324,0.6653065509221145,0.0
1.7796712137292445,2.462448258488501,1.1882808096633477,0.0
1.8067657750431545,3.398989739665404,0.41627360327717605,0.0
2.6278234856067897,2.5102882499143337,0.8158106806860341,0.0
2.911144401225495,2.6497846976832866,0.2254212261808941,0.0
1.5855809908140772,2.8913525920926193,0.19017923712795448,0.0
2.757066168637012,2.419950187511213,0.6443248013672394,0.0
2.1857926196938093,3.1564608275493313,1.152813657970461,0.0
1.70812955041893,2.680609707523053,0.8814445943158478,0.0
1.9441535947447366,2.491809116597089,1.168772048768391,0.0
2.547036414073384,2.6693909298639533,0.5657445769989659,0.0
0.7431191434312104,3.3716907874118354,0.7760152434574751,0.0
2.2580002819913494,2.7321895702737935,0.45461116056629397,0.0
2.6514920407548077,2.9231445220835437,0.8268615789745895,0.0
1.4915442512225645,3.603873217509255,0.3122506791484595,0.0
1.9905626622377615,2.8257561928370447,0.8407177289792314,0.0
1.6417886083271094,2.8475385498360803,-0.13454374967199423,0.0
2.0332812948304824,2.5419223581516963,0.5112102840595599,0.0
1.0384779389312044,2.1516043042672592,0.2675319502647559,0.0
1.4348721074058355,2.4222905603539027,0.8505550732241589,0.0
2.749370316818293,3.254916447230798,0.3582582065318364,0.0
