beta_0,beta_1,beta_2,sample_size,dist
6.7183062285130095,-2.251963833196629,1.7371988815426955,15,normal
0.962640451970783,-2.370017750864941,1.7840521350719425,15,normal
0.9680779858026196,-2.47122488298056,2.0923974838704744,15,normal
2.127831154828524,-2.605274342336571,1.8674814443746102,15,normal
2.642722662870974,-2.0193170100259414,1.747124090860301,15,normal
-0.4851822523390239,-2.0509861486144954,2.126742071859679,15,normal
3.411654656002348,-3.6551178323366273,1.9004712803658084,15,normal
-1.1215768429341049,-2.8378940412412446,2.159191779667194,15,normal
1.2337558295787057,-2.845539799016198,2.0423141894845482,15,normal
-0.6926168108913435,-3.8732988070731884,2.0200991404443154,15,normal
3.053599954463875,-3.0997637110956635,1.9470026476402393,15,normal
3.3198970602710984,-2.2980788013536135,1.9217767945254245,15,normal
2.5434252309896666,-2.507441587594126,1.9616194012165535,15,normal
4.207514462692695,-2.7042967716172575,1.686500449232319,15,normal
2.094003738276253,-3.2595157112155735,1.8934796231707969,15,normal
-0.3386694579837197,-3.6960263879964903,2.144420263789443,15,normal
3.908400359670077,-3.52145594398462,1.957976413400079,15,normal
1.1489684101751045,-1.464462419206935,1.8394624284011496,15,normal
-3.842837065285915,-3.135573488482199,2.3206959286896556,15,normal
1.850968644902145,-2.3773796191261183,2.1302963865194346,15,normal
0.9280329467572268,-3.2601881590883144,1.9363382288340025,15,normal
-0.7566715099935477,-2.9470585286136584,2.0311233137445472,15,normal
0.6292847934995764,-3.8604146183186034,1.9437501936942434,15,normal
4.086926241403042,-2.5112701540853752,1.7699617010533044,15,normal
1.4352179611670797,-2.4747799509422874,2.06552366840066,15,normal
-1.7413619517540813,-2.712422141722657,1.9426507414924346,15,normal
1.4544441098490415,-4.131192039825029,1.894598955165102,15,normal
3.220944491298521,-3.456282229822209,1.9490519355113376,15,normal
5.395882052445548,-2.886811600920719,1.6212583989086882,15,normal
1.5603042974611538,-3.144797194009854,1.9171933068087932,15,normal
1.6610013876676746,-4.085901982718182,1.9827722076600054,15,normal
0.07782242168907594,-3.057255699471177,1.9805319361971039,15,normal
5.679680548613295,-2.7206582766654006,1.8510194284869805,15,normal
2.8969613581723603,-2.2411863027438876,1.9281783564399686,15,normal
1.5757007738815378,-2.4500922399765317,1.938919895867452,15,normal
0.3393673301365494,-2.3280224388652746,2.051310762483781,15,normal
3.1204296192943275,-3.514123661044678,1.7109743329124634,15,normal
2.9289494669925213,-2.839556596056902,1.9291202415033992,15,normal
-0.15860389777345896,-2.7672945085219496,2.0510417094648106,15,normal
0.3804508541245162,-3.585353768919865,1.986412361062032,15,normal
3.356046425835779,-3.78750118772012,1.7759728207804777,15,normal
0.040619449467052426,-3.409728087105633,1.9381888159968692,15,normal
3.8007429600027907,-2.535931463088913,1.9745610025845721,15,normal
3.909470245126271,-2.270856784728872,1.8219143396584738,15,normal
0.9864050097949653,-3.6276410838738973,2.0090892467980686,15,normal
5.887208571081029,-3.0648001168154684,1.8631177252453526,15,normal
-0.09660664525984641,-2.7022430149345547,2.0148966943412456,15,normal
-0.5296132076879685,-3.2382513607196333,1.9630521369308473,15,normal
4.6180281811952515,-3.0282355042806146,1.7626127575346802,15,normal
0.3140789763888119,-2.8558110252200226,1.9813121609033928,15,normal
3.2471444070446767,-4.2017649181257894,1.869891644719794,15,normal
2.1687818577662035,-2.811328253081075,1.886239562232876,15,normal
0.9989755922821035,-3.2341424460279242,1.968598841664732,15,normal
-1.7641131154876977,-2.750443898886205,2.2132777873017657,15,normal
-1.1313241440371773,-2.6927976329093495,2.030477308446704,15,normal
4.1319000508993176,-2.0819386738577657,1.7636105485098938,15,normal
-0.5783843548789758,-2.6502658317804726,2.010962879934338,15,normal
3.4718026129845994,-3.4322993243433073,1.845992730463598,15,normal
0.1487080775478442,-2.844521466354961,2.237789674963781,15,normal
4.300416561407757,-2.181362102867894,1.9809493689967073,15,normal
3.242611425258206,-3.227482890553352,1.978446112741666,15,normal
1.6862114146030955,-3.04866448457178,2.0036009234729564,15,normal
3.7257267359793387,-3.2559419897928996,1.580007772604451,15,normal
0.9838235574409477,-2.657245713140887,2.1166712852565843,15,normal
3.5565915550826874,-3.7885886697396756,1.8201069200677438,15,normal
-0.11676709940013774,-3.9720695862560804,2.219124712027322,15,normal
-1.4351850321504396,-2.968007877912474,1.9433854255146539,15,normal
-0.8275401409292682,-2.2334786756808476,2.271903642888452,15,normal
3.1264236005365027,-2.584820439902146,1.7520969600151957,15,normal
5.041937028780643,-2.83604279518991,1.6754489605917595,15,normal
-4.091835116494841,-3.004603473574815,2.4426431404174673,15,normal
-0.014999509393491373,-3.442677477400438,2.032390294016913,15,normal
0.8701896998480438,-1.6809371977848944,1.9420228758223512,15,normal
0.6064470451569788,-2.734160761493308,2.009264773401802,15,normal
-0.19356389963776932,-2.917567526150798,2.0349943139358873,15,normal
1.7188548936181367,-3.6131484299661465,1.884995268775783,15,normal
1.0759728695880568,-2.6067141171319164,1.8206218844485138,15,normal
1.862508410563097,-2.7334274170019413,1.741369068478408,15,normal
-2.3783344493016445,-3.224603781982467,2.3529174673683437,15,normal
2.030229143575866,-2.955400828974663,1.795636023763203,15,normal
5.691414250826561,-3.2301414540106714,1.534636264059957,15,normal
-0.9821027940450406,-3.099946927249787,2.1008024963098557,15,normal
2.243163045510023,-2.7169359058557694,1.9734516634912342,15,normal
2.653052879752852,-2.946036463188798,1.7622408432745367,15,normal
0.29672085559730976,-3.1688980660291772,2.1847619996989907,15,normal
3.486821006106959,-3.3319843371184925,1.6582544085980562,15,normal
1.983278149619513,-3.2419435382813306,2.101204811392721,15,normal
2.6702828609604055,-2.0332753500364804,1.7906139535318941,15,normal
1.6770508080665005,-2.846917134752153,1.9374398538319113,15,normal
-0.843724272498094,-2.899831234203277,2.123072131198516,15,normal
3.4923627689762577,-2.7632098025034746,1.7253311429372884,15,normal
5.08832645404599,-2.631921401211515,1.7823890596500083,15,normal
0.6799913696849156,-3.422245152014276,1.7846332320466802,15,normal
-3.9359698768605824,-2.1564029477888997,2.1501725315154196,15,normal
3.159388554347093,-2.6332950042761443,1.812211687029097,15,normal
-1.3387087998620886,-3.5815725695921476,2.033160384986149,15,normal
-0.5526554808173798,-2.894045909496811,2.182157408007162,15,normal
1.2338446505785896,-3.35408346256611,1.968546432088049,15,normal
6.100213221655714,-3.239272673535718,1.603248584962004,15,normal
4.696283238208272,-3.395992568019141,1.8549204441198546,15,normal
0.13706147547470549,-3.0583871875790862,2.1076939243542125,15,normal
3.047832650308728,-2.9543815222590997,1.8906592717180226,15,normal
2.901062614958252,-2.561562267554083,1.943955444125916,15,normal
4.393978516483766,-3.0222658423218167,1.8749497830346507,15,normal
0.597360834068287,-2.8554981890374083,2.032501709320549,15,normal
3.3517133160158736,-3.190430590753195,2.0804824257248384,15,normal
-1.1432017738578737,-3.279676686480568,2.1631145989924296,15,normal
-3.164118052584739,-3.3940598614448536,2.2246017631210533,15,normal
0.182948238774852,-3.0300391146637224,1.9971405336133983,15,normal
-3.081430306201452,-3.5757952506185413,2.2507792923892427,15,normal
-0.5616848335786084,-2.884925110779612,2.342234016799122,15,normal
0.5620908340604589,-2.824030045031785,1.8309570106928952,15,normal
-1.8346060432189342,-2.2244266446233167,2.205549795566162,15,normal
